Index;DatumUpdate;Huisnr;Huislet;Huisnrtoe;Postcode;Plaats;Telnr;Mobnr;Kvknr;Vestigingsnr;Rsin;Btwnr;Ibannr;Objective 1;Objective 2;Objective 3;
1;2;4;3;3;1;1;9;0;8;8;9;11;0;0.8476190476190477;4.0;1.0;
2;2;4;3;3;2;1;9;0;8;9;9;14;0;0.8833333333333334;4.0;10.0;
3;2;4;3;3;3;2;10;0;8;11;9;14;0;0.9551282051282051;4.0;28.0;
4;2;4;3;3;1;1;10;0;8;12;9;11;0;0.8809523809523812;4.0;1.0;
5;2;4;3;3;5;1;9;0;8;12;9;12;0;0.9300366300366302;4.0;6.0;
6;2;4;3;3;1;2;9;0;8;10;9;14;0;0.9153846153846155;4.0;1.0;
7;2;4;3;3;5;1;10;0;8;12;9;11;0;0.9322344322344323;4.0;6.0;
8;2;4;3;3;4;2;9;0;8;11;9;13;0;0.9547619047619047;4.0;6.0;
9;2;4;3;3;1;2;10;0;8;9;9;11;0;0.9001831501831503;4.0;1.0;
10;2;4;3;3;2;2;10;0;8;9;9;13;0;0.9239926739926739;4.0;6.0;
11;2;4;3;3;5;1;10;0;8;11;9;13;0;0.9368131868131867;4.0;6.0;
12;2;4;3;3;1;1;10;0;8;10;9;12;0;0.8736263736263736;4.0;1.0;
13;2;4;3;3;5;2;10;0;8;12;9;13;0;0.9816849816849816;5.0;6.0;
14;2;4;3;3;1;2;10;0;8;10;9;11;0;0.9065934065934068;4.0;1.0;
15;2;4;3;3;4;2;9;0;8;9;9;12;0;0.9364468864468865;4.0;6.0;
16;2;4;3;3;5;1;9;0;8;11;9;14;0;0.9346153846153846;4.0;10.0;
17;2;4;3;3;3;1;10;0;8;10;9;14;0;0.9102564102564104;4.0;10.0;
18;2;4;3;3;5;1;9;0;8;10;9;13;0;0.9227106227106229;4.0;6.0;
19;2;4;3;3;2;2;9;0;8;9;9;12;0;0.9108058608058609;4.0;6.0;
20;2;4;3;3;1;1;10;0;8;12;9;12;0;0.8864468864468866;4.0;1.0;
21;2;4;3;3;3;1;10;0;8;11;9;12;0;0.9056776556776557;4.0;6.0;
22;2;4;3;3;1;2;9;0;8;12;9;14;0;0.9282051282051282;4.0;85.0;
23;2;4;3;3;3;1;9;0;8;8;9;11;0;0.8732600732600733;4.0;4.0;
24;2;4;3;3;4;1;9;0;8;11;9;13;0;0.9163003663003663;4.0;6.0;
25;2;4;3;3;5;2;9;0;8;12;9;13;0;0.9739926739926741;5.0;6.0;
26;2;4;3;3;6;2;10;0;8;9;9;11;0;0.9642857142857143;4.0;4.0;
27;2;4;3;3;2;2;10;0;8;12;9;11;0;0.9322344322344323;4.0;6.0;
28;2;4;3;3;1;2;9;0;8;12;9;11;0;0.9117216117216118;4.0;1.0;
29;2;4;3;3;5;2;10;0;8;12;9;13;0;0.9816849816849816;5.0;6.0;
30;2;4;3;3;2;1;10;0;8;12;9;11;0;0.8937728937728937;4.0;6.0;
31;2;4;3;3;5;1;10;0;8;10;9;11;0;0.9194139194139195;4.0;4.0;
32;2;4;3;3;2;2;10;0;8;9;9;11;0;0.913003663003663;4.0;4.0;
33;2;4;3;3;6;1;10;0;8;8;9;14;0;0.9358974358974359;4.0;10.0;
34;2;4;3;3;3;1;10;0;8;12;9;13;0;0.9175824175824177;4.0;6.0;
35;2;4;3;3;5;1;9;0;8;12;9;13;0;0.9355311355311356;4.0;6.0;
36;2;4;3;3;6;2;10;0;8;9;9;11;0;0.9642857142857143;4.0;4.0;
37;2;4;3;3;6;2;9;0;8;8;9;11;0;0.9501831501831502;4.0;4.0;
38;2;4;3;3;1;2;10;0;8;9;9;13;0;0.9111721611721613;4.0;1.0;
39;2;4;3;3;5;2;9;0;8;11;9;11;0;0.9565934065934066;4.0;4.0;
40;2;4;3;3;1;1;10;0;8;12;9;11;0;0.8809523809523812;4.0;1.0;
41;2;4;3;3;3;2;10;0;8;8;9;13;0;0.9304029304029304;4.0;6.0;
42;2;4;3;3;3;1;9;0;8;8;9;11;0;0.8732600732600733;4.0;4.0;
43;2;4;3;3;6;2;9;0;8;10;9;11;0;0.9630036630036631;4.0;4.0;
44;2;4;3;3;3;1;9;0;8;10;9;14;0;0.9025641025641027;4.0;10.0;
45;2;4;3;3;2;2;10;0;8;8;9;14;0;0.9230769230769229;4.0;28.0;
46;2;4;3;3;6;1;9;0;8;8;9;13;0;0.9227106227106228;4.0;6.0;
47;2;4;3;3;2;2;9;0;8;8;9;11;0;0.898901098901099;4.0;4.0;
48;2;4;3;3;4;2;10;0;8;11;9;13;0;0.9624542124542125;4.0;6.0;
49;2;4;3;3;5;2;10;0;8;11;9;13;0;0.9752747252747251;5.0;6.0;
50;2;4;3;3;6;1;10;0;8;8;9;11;0;0.9194139194139195;4.0;4.0;
51;2;4;3;3;1;2;10;0;8;10;9;12;0;0.9120879120879123;4.0;1.0;
52;2;4;3;3;3;1;10;0;8;11;9;14;0;0.9166666666666666;4.0;10.0;
53;2;4;3;3;3;2;9;0;8;10;9;12;0;0.9300366300366302;4.0;6.0;
54;2;4;3;3;2;1;10;0;8;11;9;13;0;0.8983516483516484;4.0;6.0;
55;2;4;3;3;4;2;9;0;8;12;9;13;0;0.9611721611721612;4.0;6.0;
56;2;4;3;3;6;1;10;0;8;9;9;13;0;0.9368131868131868;4.0;6.0;
57;2;4;3;3;3;2;9;0;8;9;9;13;0;0.9291208791208792;4.0;6.0;
58;2;4;3;3;2;2;10;0;8;11;9;11;0;0.9258241758241758;4.0;4.0;
59;2;4;3;3;1;1;9;0;8;9;9;11;0;0.8540293040293041;4.0;1.0;
60;2;4;3;3;5;1;10;0;8;8;9;11;0;0.9065934065934065;4.0;4.0;
61;2;4;3;3;2;2;10;0;8;11;9;14;0;0.9423076923076922;4.0;28.0;
62;2;4;3;3;1;2;9;0;8;10;9;12;0;0.9043956043956045;4.0;1.0;
63;2;4;3;3;4;1;10;0;8;12;9;12;0;0.9249084249084251;4.0;6.0;
64;2;4;3;3;2;1;9;0;8;9;9;13;0;0.8778388278388279;4.0;6.0;
65;2;4;3;3;1;1;10;0;8;10;9;14;0;0.8846153846153846;4.0;1.0;
66;2;4;3;3;1;2;9;0;8;10;9;11;0;0.898901098901099;4.0;1.0;
67;2;4;3;3;6;1;9;0;8;8;9;11;0;0.9117216117216118;4.0;4.0;
68;2;4;3;3;4;1;10;0;8;9;9;11;0;0.9001831501831503;4.0;4.0;
69;2;4;3;3;4;2;9;0;8;12;9;11;0;0.9501831501831502;4.0;6.0;
70;2;4;3;3;4;2;9;0;8;8;9;13;0;0.9355311355311355;4.0;6.0;
71;2;4;3;3;4;2;10;0;8;12;9;12;0;0.9633699633699635;4.0;6.0;
72;2;4;3;3;4;2;10;0;8;10;9;12;0;0.9505494505494507;4.0;6.0;
73;2;4;3;3;4;1;9;0;8;9;9;11;0;0.8924908424908425;4.0;4.0;
74;2;4;3;3;4;2;10;0;8;9;9;13;0;0.9496336996336997;4.0;6.0;
75;2;4;3;3;4;2;9;0;8;8;9;12;0;0.9300366300366301;4.0;6.0;
76;2;4;3;3;3;1;10;0;8;9;9;12;0;0.8928571428571429;4.0;6.0;
77;2;4;3;3;1;2;9;0;8;10;9;13;0;0.90989010989011;4.0;1.0;
78;2;4;3;3;6;2;9;0;8;11;9;14;0;0.9858974358974358;5.0;28.0;
79;2;4;3;3;2;2;10;0;8;10;9;13;0;0.9304029304029304;4.0;6.0;
80;2;4;3;3;4;1;10;0;8;11;9;12;0;0.9184981684981686;4.0;6.0;
81;2;4;3;3;1;2;10;0;8;8;9;13;0;0.9047619047619049;4.0;1.0;
82;2;4;3;3;1;1;9;0;8;12;9;13;0;0.8842490842490842;4.0;1.0;
83;2;4;3;3;6;2;10;0;8;11;9;11;0;0.9771062271062271;4.0;4.0;
84;2;4;3;3;5;2;10;0;8;9;9;14;0;0.9679487179487178;4.0;28.0;
85;2;4;3;3;5;1;10;0;8;9;9;13;0;0.9239926739926739;4.0;6.0;
86;2;4;3;3;1;1;10;0;8;12;9;11;0;0.8809523809523812;4.0;1.0;
87;2;4;3;3;5;1;10;0;8;10;9;12;0;0.924908424908425;4.0;6.0;
88;2;4;3;3;4;1;9;0;8;11;9;12;0;0.9108058608058608;4.0;6.0;
89;2;4;3;3;1;2;10;0;8;8;9;14;0;0.9102564102564104;4.0;1.0;
90;2;4;3;3;6;1;10;0;8;11;9;12;0;0.9441391941391941;4.0;6.0;
91;2;4;3;3;2;2;9;0;8;11;9;13;0;0.9291208791208792;4.0;6.0;
92;2;4;3;3;6;1;10;0;8;8;9;13;0;0.9304029304029304;4.0;6.0;
93;2;4;3;3;6;2;9;0;8;8;9;14;0;0.9666666666666667;4.0;28.0;
94;2;4;3;3;6;1;10;0;8;9;9;14;0;0.9423076923076923;4.0;10.0;
95;2;4;3;3;2;2;10;0;8;10;9;13;0;0.9304029304029304;4.0;6.0;
96;2;4;3;3;5;1;10;0;8;12;9;11;0;0.9322344322344323;4.0;6.0;
97;2;4;3;3;2;1;10;0;8;11;9;14;0;0.9038461538461539;4.0;10.0;
98;2;4;3;3;2;2;10;0;8;10;9;12;0;0.924908424908425;4.0;6.0;
99;2;4;3;3;6;1;10;0;8;9;9;11;0;0.9258241758241759;4.0;4.0;
100;2;4;3;3;1;1;10;0;8;8;9;13;0;0.8663003663003663;4.0;1.0;
