Index;Huisnr;Postcode;Plaats;Objective 1;Objective 2;
1;2;3;2;0.6666666666666666;876.0;
2;2;3;2;0.6666666666666666;876.0;
3;2;3;2;0.6666666666666666;876.0;
4;1;3;1;0.16666666666666663;121.0;
5;1;3;1;0.16666666666666663;121.0;
6;2;3;1;0.33333333333333326;868.0;
7;2;3;1;0.33333333333333326;868.0;
8;2;3;2;0.6666666666666666;876.0;
9;0;3;1;0.0;7.0;
10;2;3;2;0.6666666666666666;876.0;
11;0;3;1;0.0;7.0;
12;2;3;2;0.6666666666666666;876.0;
13;2;3;2;0.6666666666666666;876.0;
14;2;3;2;0.6666666666666666;876.0;
15;2;3;2;0.6666666666666666;876.0;
16;2;3;1;0.33333333333333326;868.0;
17;1;3;1;0.16666666666666663;121.0;
18;0;3;1;0.0;7.0;
19;0;3;1;0.0;7.0;
20;2;3;1;0.33333333333333326;868.0;
21;2;3;1;0.33333333333333326;868.0;
22;2;3;1;0.33333333333333326;868.0;
23;0;3;1;0.0;7.0;
24;1;3;1;0.16666666666666663;121.0;
25;0;3;1;0.0;7.0;
26;2;3;2;0.6666666666666666;876.0;
27;2;3;1;0.33333333333333326;868.0;
28;2;3;2;0.6666666666666666;876.0;
29;2;3;1;0.33333333333333326;868.0;
30;2;3;1;0.33333333333333326;868.0;
31;2;3;2;0.6666666666666666;876.0;
32;2;3;2;0.6666666666666666;876.0;
33;0;3;1;0.0;7.0;
34;2;3;2;0.6666666666666666;876.0;
35;2;3;1;0.33333333333333326;868.0;
36;2;3;2;0.6666666666666666;876.0;
37;1;3;1;0.16666666666666663;121.0;
38;2;3;2;0.6666666666666666;876.0;
39;1;3;1;0.16666666666666663;121.0;
40;1;3;1;0.16666666666666663;121.0;
41;2;3;1;0.33333333333333326;868.0;
42;2;3;2;0.6666666666666666;876.0;
43;0;3;1;0.0;7.0;
44;2;3;2;0.6666666666666666;876.0;
45;2;3;2;0.6666666666666666;876.0;
46;2;3;2;0.6666666666666666;876.0;
47;2;3;1;0.33333333333333326;868.0;
48;1;3;1;0.16666666666666663;121.0;
49;2;3;1;0.33333333333333326;868.0;
50;2;3;2;0.6666666666666666;876.0;
51;0;3;1;0.0;7.0;
52;2;3;2;0.6666666666666666;876.0;
53;2;3;2;0.6666666666666666;876.0;
54;2;3;1;0.33333333333333326;868.0;
55;2;3;1;0.33333333333333326;868.0;
56;0;3;1;0.0;7.0;
57;1;3;1;0.16666666666666663;121.0;
58;2;3;1;0.33333333333333326;868.0;
59;2;3;2;0.6666666666666666;876.0;
60;2;3;2;0.6666666666666666;876.0;
61;2;3;2;0.6666666666666666;876.0;
62;0;3;1;0.0;7.0;
63;2;3;2;0.6666666666666666;876.0;
64;1;3;1;0.16666666666666663;121.0;
65;2;3;2;0.6666666666666666;876.0;
66;1;3;1;0.16666666666666663;121.0;
67;0;3;1;0.0;7.0;
68;2;3;1;0.33333333333333326;868.0;
69;1;3;1;0.16666666666666663;121.0;
70;2;3;2;0.6666666666666666;876.0;
71;2;3;2;0.6666666666666666;876.0;
72;0;3;1;0.0;7.0;
73;2;3;1;0.33333333333333326;868.0;
74;2;3;2;0.6666666666666666;876.0;
75;2;3;1;0.33333333333333326;868.0;
76;2;3;1;0.33333333333333326;868.0;
77;2;3;1;0.33333333333333326;868.0;
78;2;3;1;0.33333333333333326;868.0;
79;2;3;2;0.6666666666666666;876.0;
80;2;3;1;0.33333333333333326;868.0;
81;2;3;1;0.33333333333333326;868.0;
82;1;3;1;0.16666666666666663;121.0;
83;1;3;1;0.16666666666666663;121.0;
84;1;3;1;0.16666666666666663;121.0;
85;2;3;1;0.33333333333333326;868.0;
86;1;3;1;0.16666666666666663;121.0;
87;1;3;1;0.16666666666666663;121.0;
88;2;3;1;0.33333333333333326;868.0;
89;2;3;2;0.6666666666666666;876.0;
90;2;3;2;0.6666666666666666;876.0;
91;1;3;1;0.16666666666666663;121.0;
92;2;3;2;0.6666666666666666;876.0;
93;2;3;2;0.6666666666666666;876.0;
94;2;3;2;0.6666666666666666;876.0;
95;2;3;1;0.33333333333333326;868.0;
96;2;3;2;0.6666666666666666;876.0;
97;2;3;1;0.33333333333333326;868.0;
98;2;3;1;0.33333333333333326;868.0;
99;2;3;1;0.33333333333333326;868.0;
100;2;3;2;0.6666666666666666;876.0;
